record_id,created_at,closed_at,project_card_id,status,assignee
1,"2023-05-09 03:35:09","2023-06-23 15:42:00",1701256335,closed,Luleve
2,"2023-05-09 03:35:44","2023-06-23 15:42:02",1701256669,closed,Luleve
3,"2023-05-09 03:35:27","2023-06-23 15:42:01",1701256524,closed,DrikaPrates
4,"2023-05-09 03:36:08","2023-06-23 15:42:03",1701256911,closed,Luleve
5,"2023-05-09 03:35:59","2023-06-23 15:42:02",1701256821,closed,Luleve
6,"2023-05-09 03:36:35","2023-06-23 15:42:04",1701257159,closed,eemr3
7,"2023-05-04 21:01:39","2023-06-23 15:42:05",1702818410,closed,DrikaPrates
8,"2023-05-04 21:01:32","2023-06-23 15:42:06",1702818495,closed,Luleve
9,"2023-05-25 20:00:25","2023-06-23 15:42:06",1726414579,closed,Luleve
10,"2023-05-25 20:02:48","2023-06-23 15:42:07",1726417752,closed,Luleve
11,"2023-06-20 21:08:34","2023-06-23 15:42:08",1766168461,closed,Guidevit
12,"2023-06-20 21:08:40","2023-06-23 15:42:08",1766168996,closed,NULL
13,"2023-06-20 21:08:46","2023-06-23 15:42:09",1766169419,closed,NULL
14,"2023-06-16 10:04:38","2023-06-23 15:38:51",1760316671,open,NULL
15,"2023-06-16 10:04:41","2023-06-23 15:38:52",1760316731,open,NULL
16,"2023-06-16 10:04:50","2023-06-23 15:38:52",1760316939,open,NULL
17,"2023-06-16 10:04:54","2023-06-23 15:38:53",1760317033,open,NULL
18,"2023-06-16 10:05:04","2023-06-23 15:38:54",1760317284,open,NULL
19,"2023-06-16 10:05:17","2023-06-23 15:38:55",1760317651,open,NULL
20,"2023-06-16 10:05:07","2023-06-23 15:38:54",1760317363,open,NULL
21,"2023-06-16 10:05:23","2023-06-23 15:38:56",1760317805,open,NULL
22,"2023-06-16 10:05:31","2023-06-23 15:38:56",1760317993,open,NULL
23,"2023-06-16 10:05:36","2023-06-23 15:38:57",1760318152,open,NULL
24,"2023-06-16 10:05:43","2023-06-23 15:38:57",1760318309,open,NULL
25,"2023-06-16 10:05:55","2023-06-23 15:38:58",1760318590,open,NULL
26,"2023-06-16 10:06:04","2023-06-23 15:38:59",1760318811,open,NULL
27,"2023-06-16 10:06:10","2023-06-23 15:39:00",1760318977,open,NULL
28,"2023-06-16 10:06:24","2023-06-23 15:39:00",1760319301,open,NULL
29,"2023-06-16 10:06:34","2023-06-23 15:39:01",1760319557,open,NULL
30,"2023-06-16 10:06:40","2023-06-23 15:39:02",1760319725,open,NULL
31,"2023-06-16 10:06:49","2023-06-23 15:39:03",1760319948,open,NULL
32,"2023-06-16 10:06:54","2023-06-23 15:39:03",1760320089,open,NULL
33,"2023-06-16 10:07:00","2023-06-23 15:39:04",1760320217,open,NULL
34,"2023-06-16 10:07:05","2023-06-23 15:39:05",1760320373,open,NULL
35,"2023-06-18 20:00:27","2023-06-23 15:39:05",1762440210,open,BrCid
36,"2023-06-18 20:02:08","2023-06-23 15:39:06",1762440812,open,BrCid
37,"2023-06-21 19:58:30","2023-06-23 15:39:06",1768377819,open,NULL
38,"2023-06-22 18:35:28","2023-06-23 15:39:08",1770203293,open,NULL
39,"2023-05-09 03:34:47","2023-06-23 15:39:17",1701256137,open,NULL
40,"2023-05-09 03:36:22","2023-06-23 15:39:18",1701257040,open,NULL
41,"2023-05-09 03:36:55","2023-06-23 15:39:18",1701257371,open,Luleve
42,"2023-05-09 17:21:31","2023-06-23 15:39:19",1702434368,open,NULL
43,"2023-05-09 22:53:59","2023-06-23 15:39:20",1702855687,open,NULL
44,"2023-05-25 20:19:24","2023-06-23 15:39:20",1726437267,open,NULL
45,"2023-05-25 20:25:25","2023-06-23 15:39:21",1726444008,open,NULL
46,"2023-05-25 20:25:38","2023-06-23 15:39:22",1726444254,open,NULL
47,"2023-05-25 20:25:52","2023-06-23 15:39:23",1726444485,open,NULL
48,"2023-06-13 13:09:02","2023-06-23 15:39:23",1754855508,open,NULL
49,"2023-06-13 13:09:09","2023-06-23 15:39:24",1754855737,open,NULL
50,"2023-06-14 18:16:52","2023-06-23 15:39:24",1757420951,open,NULL
51,"2023-06-14 19:33:37","2023-06-23 15:39:24",1757520552,open,NULL
52,"2023-06-14 19:36:39","2023-06-23 15:39:25",1757524234,open,Guidevit
53,"2023-06-14 19:39:53","2023-06-23 15:39:25",1757527861,open,Guidevit
54,"2023-06-14 20:01:18","2023-06-23 15:39:26",1757553317,open,Guidevit
55,"2023-06-16 10:01:56","2023-06-23 15:39:26",1760312382,open,NULL
56,"2023-06-16 10:02:38","2023-06-23 15:39:27",1760313475,open,NULL
57,"2023-06-16 10:03:15","2023-06-23 15:39:28",1760314494,open,NULL
58,"2023-06-16 10:03:27","2023-06-23 15:39:28",1760314794,open,NULL
59,"2023-06-16 10:03:39","2023-06-23 15:39:29",1760315157,open,NULL
60,"2023-06-16 10:03:48","2023-06-23 15:39:30",1760315356,open,NULL
61,"2023-06-16 10:03:58","2023-06-23 15:39:30",1760315600,open,NULL
62,"2023-06-16 10:04:16","2023-06-23 15:39:31",1760316085,open,NULL
63,"2023-06-16 10:04:25","2023-06-23 15:39:32",1760316337,open,NULL
64,"2023-05-08 16:42:27","2023-06-23 15:39:43",1700579727,open,NULL
65,"2023-05-08 18:29:42","2023-06-23 15:39:43",1700719461,open,NULL
66,"2023-05-09 03:34:41","2023-06-23 15:39:44",1701256077,open,NULL
67,"2023-05-04 21:02:03","2023-06-23 15:39:45",1702817668,open,Luleve
68,"2023-05-04 21:01:58","2023-06-23 15:39:45",1702817932,open,Luleve
69,"2023-05-04 21:01:53","2023-06-23 15:39:46",1702818161,open,NULL
70,"2023-05-04 21:01:46","2023-06-23 15:39:47",1702818293,open,NULL
71,"2023-06-29 00:28:18","2023-06-29 00:41:07",1779934545,open,NULL
72,"2023-07-01 02:36:58","2023-07-01 02:42:01",1783369169,closed,NULL
73,"2023-07-01 15:03:25",NULL,1783997651,open,NULL
74,"2023-07-02 03:36:17","2023-07-02 03:38:07",1784416267,closed,NULL
75,"2023-07-01 02:33:27","2023-07-02 03:37:24",1783367471,closed,NULL
76,"2023-07-03 23:32:26",NULL,1786926868,Open,NULL
